id,class,owner,type,aircraft
d9fade37-32c3-4520-a5b9-f3cc45651145,NATALL,NAT,All,
61dca88d-f894-498a-ac50-639d322962f6,NATJ,NAT,Include,A124
e853c890-5c07-4fa8-b4c1-2dd6b0a03e1c,NATJ,NAT,Include,A148
cf2c8f08-e36d-44ed-820d-acf5bf2ba988,NATJ,NAT,Include,A158
03bcac8f-5457-442b-8ce6-5a684ffa3962,NATJ,NAT,Include,A178
3423b06e-ac17-470a-8c77-15665ff531d7,NATJ,NAT,Include,A19N
18f85d10-83c3-4278-88a5-154c29a1ae84,NATJ,NAT,Include,A20N
ec75f509-4395-4fac-979b-24ed7213b5f6,NATJ,NAT,Include,A21N
dd8f0e34-15ca-455a-8805-eb566c7f5ccb,NATJ,NAT,Include,A225
f87d34c7-6c33-4951-a3ac-133d86965a26,NATJ,NAT,Include,A306
7bbeaf86-baa4-40e6-9f63-022e09a247a2,NATJ,NAT,Include,A30B
699e1534-bd19-48c3-bde1-00c3a6e9650c,NATJ,NAT,Include,A310
c0565884-9999-48c3-a103-9fdf59223f7b,NATJ,NAT,Include,A318
e433fd24-eea7-400a-a3f3-c63b7ccb7dfc,NATJ,NAT,Include,A319
b7ea8124-f12d-461f-a8c8-bb38f6cfc024,NATJ,NAT,Include,A320
4a42b684-74e9-4420-866a-d37b48bd8796,NATJ,NAT,Include,A321
717820db-ad51-428d-9bbc-cf53294836ca,NATJ,NAT,Include,A332
896b5989-2c04-4445-82a2-df3e92a61765,NATJ,NAT,Include,A333
edeb1aa8-8fe0-41c0-ab03-9180d47e1f2f,NATJ,NAT,Include,A339
9532234c-c6db-47db-833b-f27045e215b5,NATJ,NAT,Include,A342
3aef86ea-a78a-417e-8f01-ff19dd65265f,NATJ,NAT,Include,A343
7caf2bd8-f30b-4b92-b790-eaa9874d0011,NATJ,NAT,Include,A345
a2bea528-0346-49d8-b9b8-4ffa560676ad,NATJ,NAT,Include,A346
08fe89e8-6a64-400e-b0f9-ee7d7c8083c8,NATJ,NAT,Include,A359
4442364b-589a-41c2-853c-04561f68d3db,NATJ,NAT,Include,A35K
ad2b72d4-6e57-4ded-9572-f58efeaef310,NATJ,NAT,Include,A37
83d5bdd7-f527-4529-899f-abd9c7623a9d,NATJ,NAT,Include,A388
d719f4dd-93ff-479f-985a-6ae9140c0eaa,NATJ,NAT,Include,A3ST
28f0b770-1a67-49ac-9e99-3fdd220d1e55,NATJ,NAT,Include,A50
68d02c60-e0c5-43b4-b565-43e3ffee22cd,NATJ,NAT,Include,A700
eade991a-f99d-4e90-9871-cb3a9ac9c3a4,NATJ,NAT,Include,A743
cf1f6939-a698-450b-9894-7c98d606e8ad,NATJ,NAT,Include,AJ27
643fd399-8e2b-427e-a52b-ebe28c161524,NATJ,NAT,Include,AJET
c55c4b2b-9107-4519-b099-dff6d4a2ceac,NATJ,NAT,Include,ALOH
c7bdd819-6121-4a1a-b8d9-56114a39e01c,NATJ,NAT,Include,AMX
ca08943a-147b-4157-ab66-c1429deb0333,NATJ,NAT,Include,AN72
b16248ef-8275-48d9-ad99-3b56679c62b2,NATJ,NAT,Include,ARES
878cfc59-0086-4e6c-a851-eb533b967867,NATJ,NAT,Include,ASTR
04c0728d-f59c-4831-a3d9-114616739c9a,NATJ,NAT,Include,ATG1
cdae8654-6e07-4f5a-9f7f-6ba93cdbcdfc,NATJ,NAT,Include,B2
93cca7e9-fc8f-4f8f-87c3-59f5eb8fce21,NATJ,NAT,Include,B37M
96435775-b502-48f6-bec3-2039a9e1cb6d,NATJ,NAT,Include,B38M
8570f7b2-7fd7-4922-b1e9-07830922a2d9,NATJ,NAT,Include,B39M
e7278c93-971c-4bce-b537-48a3bc4ee910,NATJ,NAT,Include,B461
9203a0de-ca23-418b-996c-2c30c7bbbbb2,NATJ,NAT,Include,B462
8a2419e0-1c0b-459e-8052-304147c6d913,NATJ,NAT,Include,B463
2ab60fcb-137a-46a1-8bb1-c7c446f7eaaf,NATJ,NAT,Include,B701
2d3541be-5eab-4bfb-b53a-0dc8c243e0e7,NATJ,NAT,Include,B703
45d72cbc-716f-4373-9813-35897edaa906,NATJ,NAT,Include,B712
9640d305-537d-4d21-b7a8-b481d292d1d5,NATJ,NAT,Include,B720
8ca4652e-6693-48ba-9086-85966458a3d6,NATJ,NAT,Include,B721
1d78b643-b632-45e3-afd2-d1e693abe2f8,NATJ,NAT,Include,B722
e98cccc0-0560-4240-b4e6-ad23004aea70,NATJ,NAT,Include,B732
b02bbfdf-cddc-4cb7-a4df-b6990e6f2b5e,NATJ,NAT,Include,B733
03b9fb81-7df1-420d-bfd1-b4ab00848a00,NATJ,NAT,Include,B734
3914270a-8b6b-4fcc-a57b-dc866f72c8da,NATJ,NAT,Include,B735
224cf4ea-4657-40f8-8c03-6194e2db5ef3,NATJ,NAT,Include,B736
34300b52-efb6-436d-b145-17671366c26b,NATJ,NAT,Include,B737
ba64efcd-46af-4593-a114-15698b6c03b1,NATJ,NAT,Include,B738
9905001b-67fa-4245-9fd5-89ea65814b44,NATJ,NAT,Include,B739
ceb7c6b5-30b4-4b5f-bac3-306eae555885,NATJ,NAT,Include,B741
b2d6dfef-b496-4e40-8ddf-1f085c10294e,NATJ,NAT,Include,B742
569fa305-e716-4a7e-98dc-e80c9e8f13db,NATJ,NAT,Include,B743
26d15a92-0056-41ef-a789-56f5822c0570,NATJ,NAT,Include,B744
7c553645-33a9-40a1-ba4a-8370467d11d4,NATJ,NAT,Include,B748
692d1e8d-e0f9-46e1-ba81-b9397cec6599,NATJ,NAT,Include,B74D
6591d67a-2061-481a-8f9e-1acd80164092,NATJ,NAT,Include,B74R
4645500e-8bf1-44a5-b1e9-37dcf3b550ba,NATJ,NAT,Include,B74S
d17932d3-4f7e-4c96-a512-e458b50c4296,NATJ,NAT,Include,B752
ae5e11e0-72b0-4d70-8d78-5dfe0f762de5,NATJ,NAT,Include,B753
f0a6666b-4bc1-4f06-817d-3adf34cf3d17,NATJ,NAT,Include,B762
3b139c6b-b5bc-4417-9d9a-c2a9e1ccaa66,NATJ,NAT,Include,B763
d13afab2-2cdb-4614-a9ef-df421753e5bc,NATJ,NAT,Include,B764
8e27d2af-6ca8-4ed8-9452-03b9a8898c51,NATJ,NAT,Include,B772
1faf5f27-d198-48b9-9135-07ea30ee585a,NATJ,NAT,Include,B773
cb9feea2-c282-4ecb-aa2e-050ca9c91f20,NATJ,NAT,Include,B778
4ead4f32-ed02-488b-9064-533689ae0b1e,NATJ,NAT,Include,B779
36265be2-1aa1-4e25-b156-6c26d8029362,NATJ,NAT,Include,B77L
58cba14a-38b4-4f82-b2db-e3044945b2ac,NATJ,NAT,Include,B77W
90178a8a-ba7b-4f34-b78f-0f65c8b105ca,NATJ,NAT,Include,B788
