artcc,range_start,range_end,priority
ZAB,0700,0777,EP-1
ZAB,2600,2677,EP-2
ZAB,1500,1577,ES-1
ZAB,1600,1677,ES-2
ZAB,4100,4177,ES-3
ZAB,3001,3020,ET-1
ZAB,3101,3134,ET-2
ZAB,3501,3515,ET-3
ZAB,5601,5621,ET-4
ZAB,6024,6047,ET-5
ZAB,4200,4277,IP-1
ZAB,4300,4377,IP-2
ZAB,5500,5577,IS-1
ZAN,3400,3477,E
ZAN,4100,4177,E
ZAN,5700,5777,E
ZAN,7200,7277,E
ZAN,4000,4077,ES
ZAN,5600,5677,ES
ZAN,2200,2277,I
ZAN,2300,2377,I
ZAN,4200,4277,I
ZAN,4500,4577,I
ZAN,4600,4677,I
ZAN,4700,4777,I
ZAN,5100,5177,I
ZAN,5200,5277,I
ZAN,3100,3177,IS
ZAN,3500,3577,IS
ZAN,5300,5377,M
ZAN,5500,5577,M
ZAU,1300,3177,EP-1
ZAU,3100,3177,EP-2
ZAU,6200,6277,EP-3
ZAU,6500,6577,EP-4
ZAU,3200,3277,ES-1
ZAU,3500,3577,ES-2
ZAU,5600,5677,ES-3
ZAU,7200,7277,ES-4
ZAU,0500,0577,ET-1
ZAU,2200,2277,ET-2
ZAU,4300,4377,IP-1
ZAU,5300,5377,IP-2
ZAU,0001,0007,IS-1
ZAU,0011,0017,IS-2
ZAU,0021,0027,IS-3
ZAU,0031,0037,IS-4
ZAU,0041,0047,IS-5
ZAU,0051,0057,IS-6
ZAU,0061,0067,IS-7
ZAU,0071,0077,IS-8
ZAU,4700,4777,IS-9
ZAU,5500,5577,IS-10
ZBW,3400,3477,EP-1
ZBW,3500,3577,EP-2
ZBW,1300,1377,ES-1
ZBW,1400,1477,ES-2
ZBW,2000,2007,ES-3
ZBW,7300,7377,ES-4
ZBW,2400,2477,ET-1
ZBW,7000,7077,ET-2
ZBW,5300,5377,IP-1
ZBW,0001,0077,IS-1
ZBW,4600,4677,IS-2
ZBW,4700,4777,IS-3
ZBW,5500,5577,IS-4
ZDC,0500,0577,EP-1
ZDC,2100,2177,EP-2
ZDC,2400,2477,EP-3
ZDC,3600,3677,EP-4
ZDC,5600,5677,EP-5
ZDC,7000,7077,EP-6
ZDC,1300,1377,ES-1
ZDC,6200,6277,ES-2
ZDC,6500,6577,ES-3
ZDC,3500,3577,ET-1
ZDC,3700,3777,ET-2
ZDC,4600,4677,IP-1
ZDC,5300,5377,IP-2
ZDC,0001,0077,IS-1
ZDC,4700,4777,IS-2
ZDC,5500,5577,IS-3
ZDV,1400,1477,EP-1
ZDV,0600,0677,ES-1
ZDV,2700,2777,ES-2
ZDV,3700,3777,ES-3
ZDV,6500,6577,ES-4
ZDV,2212,2235,ET-1
ZDV,3333,3377,ET-2
ZDV,3401,3427,ET-3
ZDV,5622,5642,ET-4
ZDV,6644,6655,ET-5
ZDV,7441,7453,ET-6
ZDV,5100,5177,IP-1
ZDV,0001,0077,IS-1
ZDV,4300,4377,IS-2
ZDV,5500,5577,IS-3
ZFW,0500,0577,EP-1
ZFW,2200,2277,EP-2
ZFW,2300,2377,EP-3
ZFW,3400,3477,ES-1
ZFW,3600,3677,ES-2
ZFW,6200,6277,ES-3
ZFW,0613,0677,ET-1
ZFW,3021,3077,ET-2
ZFW,3241,3264,ET-3
ZFW,7041,7077,ET-4
ZFW,5100,5177,IP-1
ZFW,5200,5277,IP-2
ZFW,4500,4577,IS-1
ZFW,5300,5377,IS-2
